Torchy's,30.4528565,-97.82776
Torchy's,30.3707033,-97.7564423
Torchy's,30.3234146,-97.7393933
Torchy's,30.2935625,-97.7419348
Torchy's,30.3031357,-97.6991092
Torchy's,30.2506632,-97.7545106
Torchy's,30.2454379,-97.7517204
Torchy's,30.2367433,-97.7628865
Torchy's,30.2223925,-97.840664
Torchy's,30.3468437,-97.9672742
Tacodeli,30.4076255,-97.7134925
Tacodeli,30.3487391,-97.7351564
Tacodeli,30.3104193,-97.7403106
Tacodeli,30.2584636,-97.7876652
Tacodeli,30.2903258,-97.8262127
El Chilito,30.284025,-97.718475
El Chilito,30.2631467,-97.7245702